in.ahs_region	"CBSA Atlanta-Sandy Springs-Roswell, GA"	"American Housing Survey region Atlanta-Sandy Springs-Roswell, GA"
in.ahs_region	"CBSA Boston-Cambridge-Newton, MA-NH"	"American Housing Survey region Boston-Cambridge-Newton, MA-NH"
in.ahs_region	"CBSA Chicago-Naperville-Elgin, IL-IN-WI"	"American Housing Survey region Chicago-Naperville-Elgin, IL-IN-WI"
in.ahs_region	"CBSA Dallas-Fort Worth-Arlington, TX"	"American Housing Survey region Dallas-Fort Worth-Arlington, TX"
in.ahs_region	"CBSA Detroit-Warren-Dearborn, MI"	"American Housing Survey region Detroit-Warren-Dearborn, MI"
in.ahs_region	"CBSA Houston-The Woodlands-Sugar Land, TX"	"American Housing Survey region Houston-The Woodlands-Sugar Land, TX"
in.ahs_region	"CBSA Los Angeles-Long Beach-Anaheim, CA"	"American Housing Survey region Los Angeles-Long Beach-Anaheim, CA"
in.ahs_region	"CBSA Miami-Fort Lauderdale-West Palm Beach, FL"	"American Housing Survey region Miami-Fort Lauderdale-West Palm Beach, FL"
in.ahs_region	"CBSA New York-Newark-Jersey City, NY-NJ-PA"	"American Housing Survey region New York-Newark-Jersey City, NY-NJ-PA"
in.ahs_region	"CBSA Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"	"American Housing Survey region Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
in.ahs_region	"CBSA Phoenix-Mesa-Scottsdale, AZ"	"American Housing Survey region Phoenix-Mesa-Scottsdale, AZ"
in.ahs_region	"CBSA Riverside-San Bernardino-Ontario, CA"	"American Housing Survey region Riverside-San Bernardino-Ontario, CA"
in.ahs_region	"CBSA San Francisco-Oakland-Hayward, CA"	"American Housing Survey region San Francisco-Oakland-Hayward, CA"
in.ahs_region	"CBSA Seattle-Tacoma-Bellevue, WA"	"American Housing Survey region Seattle-Tacoma-Bellevue, WA"
in.ahs_region	"CBSA Washington-Arlington-Alexandria, DC-VA-MD-WV"	"American Housing Survey region Washington-Arlington-Alexandria, DC-VA-MD-WV"
in.ahs_region	Non-CBSA East North Central	American Housing Survey region BSA East North Central
in.ahs_region	Non-CBSA East South Central	American Housing Survey region BSA East South Central
in.ahs_region	Non-CBSA Middle Atlantic	American Housing Survey region BSA Middle Atlantic
in.ahs_region	Non-CBSA Mountain	American Housing Survey region BSA Mountain
in.ahs_region	Non-CBSA New England	American Housing Survey region BSA New England
in.ahs_region	Non-CBSA Pacific	American Housing Survey region BSA Pacific
in.ahs_region	Non-CBSA South Atlantic	American Housing Survey region BSA South Atlantic
in.ahs_region	Non-CBSA West North Central	American Housing Survey region BSA West North Central
in.ahs_region	Non-CBSA West South Central	American Housing Survey region BSA West South Central
in.orientation	East	Housing unit faces east
in.orientation	North	Housing unit faces north
in.orientation	Northeast	Housing unit faces northeast
in.orientation	Northwest	Housing unit faces northwest
in.orientation	South	Housing unit faces south
in.orientation	Southeast	Housing unit faces southeast
in.orientation	Southwest	Housing unit faces southwest
in.orientation	West	Housing unit faces west
in.overhangs	None	No overhangs above windows
in.plug_load_diversity	100%	Applies further diversity to the plug load usage with a 1.0 multiplier
in.plug_load_diversity	200%	Applies further diversity to the plug load usage with a 2.0 multiplier
in.plug_load_diversity	50%	Applies further diversity to the plug load usage with a 0.5 multiplier
in.plug_loads	100%	Plug load usage is 100% of the national average
in.plug_loads	101%	Plug load usage is 101% of the national average
in.plug_loads	102%	Plug load usage is 102% of the national average
in.plug_loads	103%	Plug load usage is 103% of the national average
in.plug_loads	104%	Plug load usage is 104% of the national average
in.plug_loads	105%	Plug load usage is 105% of the national average
in.plug_loads	106%	Plug load usage is 106% of the national average
in.plug_loads	108%	Plug load usage is 108% of the national average
in.plug_loads	110%	Plug load usage is 110% of the national average
in.plug_loads	113%	Plug load usage is 113% of the national average
in.plug_loads	119%	Plug load usage is 119% of the national average
in.plug_loads	121%	Plug load usage is 121% of the national average
in.plug_loads	123%	Plug load usage is 123% of the national average
in.plug_loads	134%	Plug load usage is 134% of the national average
in.plug_loads	137%	Plug load usage is 137% of the national average
in.plug_loads	140%	Plug load usage is 140% of the national average
in.plug_loads	144%	Plug load usage is 144% of the national average
in.plug_loads	166%	Plug load usage is 166% of the national average
in.plug_loads	78%	Plug load usage is 78% of the national average
in.plug_loads	79%	Plug load usage is 79% of the national average
in.plug_loads	82%	Plug load usage is 82% of the national average
in.plug_loads	84%	Plug load usage is 84% of the national average
in.plug_loads	85%	Plug load usage is 85% of the national average
in.plug_loads	86%	Plug load usage is 86% of the national average
in.plug_loads	89%	Plug load usage is 89% of the national average
in.plug_loads	91%	Plug load usage is 91% of the national average
in.plug_loads	94%	Plug load usage is 94% of the national average
in.plug_loads	95%	Plug load usage is 95% of the national average
in.plug_loads	96%	Plug load usage is 96% of the national average
in.plug_loads	97%	Plug load usage is 97% of the national average
in.plug_loads	99%	Plug load usage is 99% of the national average
in.puma	"AK, 00101"	"The dwelling unit is located in AK, the NHGIS PUMA code is 00101"
in.puma	"AK, 00102"	"The dwelling unit is located in AK, the NHGIS PUMA code is 00102"
in.puma	"AK, 00200"	"The dwelling unit is located in AK, the NHGIS PUMA code is 00200"
in.puma	"AK, 00300"	"The dwelling unit is located in AK, the NHGIS PUMA code is 00300"
in.puma	"AK, 00400"	"The dwelling unit is located in AK, the NHGIS PUMA code is 00400"
in.puma	"AL, 00100"	"The dwelling unit is located in AL, the NHGIS PUMA code is 00100"
in.puma	"AL, 00200"	"The dwelling unit is located in AL, the NHGIS PUMA code is 00200"
in.puma	"AL, 00301"	"The dwelling unit is located in AL, the NHGIS PUMA code is 00301"
in.puma	"AL, 00302"	"The dwelling unit is located in AL, the NHGIS PUMA code is 00302"
in.puma	"AL, 00400"	"The dwelling unit is located in AL, the NHGIS PUMA code is 00400"
in.puma	"AL, 00500"	"The dwelling unit is located in AL, the NHGIS PUMA code is 00500"
in.puma	"AL, 00600"	"The dwelling unit is located in AL, the NHGIS PUMA code is 00600"
in.puma	"AL, 00700"	"The dwelling unit is located in AL, the NHGIS PUMA code is 00700"
in.puma	"AL, 00800"	"The dwelling unit is located in AL, the NHGIS PUMA code is 00800"
in.puma	"AL, 00900"	"The dwelling unit is located in AL, the NHGIS PUMA code is 00900"
in.puma	"AL, 01000"	"The dwelling unit is located in AL, the NHGIS PUMA code is 01000"
in.puma	"AL, 01100"	"The dwelling unit is located in AL, the NHGIS PUMA code is 01100"
in.puma	"AL, 01200"	"The dwelling unit is located in AL, the NHGIS PUMA code is 01200"
in.puma	"AL, 01301"	"The dwelling unit is located in AL, the NHGIS PUMA code is 01301"
in.puma	"AL, 01302"	"The dwelling unit is located in AL, the NHGIS PUMA code is 01302"
in.puma	"AL, 01303"	"The dwelling unit is located in AL, the NHGIS PUMA code is 01303"
in.puma	"AL, 01304"	"The dwelling unit is located in AL, the NHGIS PUMA code is 01304"
in.puma	"AL, 01305"	"The dwelling unit is located in AL, the NHGIS PUMA code is 01305"
in.puma	"AL, 01400"	"The dwelling unit is located in AL, the NHGIS PUMA code is 01400"
in.puma	"AL, 01500"	"The dwelling unit is located in AL, the NHGIS PUMA code is 01500"
in.puma	"AL, 01600"	"The dwelling unit is located in AL, the NHGIS PUMA code is 01600"
in.puma	"AL, 01700"	"The dwelling unit is located in AL, the NHGIS PUMA code is 01700"
in.puma	"AL, 01800"	"The dwelling unit is located in AL, the NHGIS PUMA code is 01800"
in.puma	"AL, 01900"	"The dwelling unit is located in AL, the NHGIS PUMA code is 01900"
in.puma	"AL, 02000"	"The dwelling unit is located in AL, the NHGIS PUMA code is 02000"
in.puma	"AL, 02100"	"The dwelling unit is located in AL, the NHGIS PUMA code is 02100"
in.puma	"AL, 02200"	"The dwelling unit is located in AL, the NHGIS PUMA code is 02200"
in.puma	"AL, 02300"	"The dwelling unit is located in AL, the NHGIS PUMA code is 02300"
in.puma	"AL, 02400"	"The dwelling unit is located in AL, the NHGIS PUMA code is 02400"
in.puma	"AL, 02500"	"The dwelling unit is located in AL, the NHGIS PUMA code is 02500"
in.puma	"AL, 02600"	"The dwelling unit is located in AL, the NHGIS PUMA code is 02600"
in.puma	"AL, 02701"	"The dwelling unit is located in AL, the NHGIS PUMA code is 02701"
in.puma	"AL, 02702"	"The dwelling unit is located in AL, the NHGIS PUMA code is 02702"
in.puma	"AL, 02703"	"The dwelling unit is located in AL, the NHGIS PUMA code is 02703"
in.puma	"AR, 00100"	"The dwelling unit is located in AR, the NHGIS PUMA code is 00100"
in.puma	"AR, 00200"	"The dwelling unit is located in AR, the NHGIS PUMA code is 00200"
in.puma	"AR, 00300"	"The dwelling unit is located in AR, the NHGIS PUMA code is 00300"
in.puma	"AR, 00400"	"The dwelling unit is located in AR, the NHGIS PUMA code is 00400"
in.puma	"AR, 00500"	"The dwelling unit is located in AR, the NHGIS PUMA code is 00500"
in.puma	"AR, 00600"	"The dwelling unit is located in AR, the NHGIS PUMA code is 00600"
in.puma	"AR, 00700"	"The dwelling unit is located in AR, the NHGIS PUMA code is 00700"
in.puma	"AR, 00800"	"The dwelling unit is located in AR, the NHGIS PUMA code is 00800"
in.puma	"AR, 00900"	"The dwelling unit is located in AR, the NHGIS PUMA code is 00900"
in.puma	"AR, 01000"	"The dwelling unit is located in AR, the NHGIS PUMA code is 01000"
in.puma	"AR, 01100"	"The dwelling unit is located in AR, the NHGIS PUMA code is 01100"
in.puma	"AR, 01200"	"The dwelling unit is located in AR, the NHGIS PUMA code is 01200"
in.puma	"AR, 01300"	"The dwelling unit is located in AR, the NHGIS PUMA code is 01300"
in.puma	"AR, 01400"	"The dwelling unit is located in AR, the NHGIS PUMA code is 01400"
in.puma	"AR, 01500"	"The dwelling unit is located in AR, the NHGIS PUMA code is 01500"
in.puma	"AR, 01600"	"The dwelling unit is located in AR, the NHGIS PUMA code is 01600"
in.puma	"AR, 01700"	"The dwelling unit is located in AR, the NHGIS PUMA code is 01700"
in.puma	"AR, 01800"	"The dwelling unit is located in AR, the NHGIS PUMA code is 01800"
in.puma	"AR, 01900"	"The dwelling unit is located in AR, the NHGIS PUMA code is 01900"
in.puma	"AR, 02000"	"The dwelling unit is located in AR, the NHGIS PUMA code is 02000"
in.puma	"AZ, 00100"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00100"
in.puma	"AZ, 00101"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00101"
in.puma	"AZ, 00102"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00102"
in.puma	"AZ, 00103"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00103"
in.puma	"AZ, 00104"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00104"
in.puma	"AZ, 00105"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00105"
in.puma	"AZ, 00106"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00106"
in.puma	"AZ, 00107"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00107"
in.puma	"AZ, 00108"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00108"
in.puma	"AZ, 00109"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00109"
in.puma	"AZ, 00110"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00110"
in.puma	"AZ, 00111"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00111"
in.puma	"AZ, 00112"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00112"
in.puma	"AZ, 00113"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00113"
in.puma	"AZ, 00114"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00114"
in.puma	"AZ, 00115"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00115"
in.puma	"AZ, 00116"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00116"
in.puma	"AZ, 00117"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00117"
in.puma	"AZ, 00118"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00118"
in.puma	"AZ, 00119"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00119"
in.puma	"AZ, 00120"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00120"
in.puma	"AZ, 00121"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00121"
in.puma	"AZ, 00122"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00122"
in.puma	"AZ, 00123"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00123"
in.puma	"AZ, 00124"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00124"
in.puma	"AZ, 00125"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00125"
in.puma	"AZ, 00126"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00126"
in.puma	"AZ, 00127"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00127"
in.puma	"AZ, 00128"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00128"
in.puma	"AZ, 00129"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00129"
in.puma	"AZ, 00130"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00130"
in.puma	"AZ, 00131"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00131"
in.puma	"AZ, 00132"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00132"
in.puma	"AZ, 00133"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00133"
in.puma	"AZ, 00134"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00134"
in.puma	"AZ, 00201"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00201"
in.puma	"AZ, 00202"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00202"
in.puma	"AZ, 00203"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00203"
in.puma	"AZ, 00204"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00204"
in.puma	"AZ, 00205"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00205"
in.puma	"AZ, 00206"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00206"
in.puma	"AZ, 00207"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00207"
in.puma	"AZ, 00208"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00208"
in.puma	"AZ, 00209"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00209"
in.puma	"AZ, 00300"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00300"
in.puma	"AZ, 00400"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00400"
in.puma	"AZ, 00500"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00500"
in.puma	"AZ, 00600"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00600"
in.puma	"AZ, 00700"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00700"
in.puma	"AZ, 00800"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00800"
in.puma	"AZ, 00803"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00803"
in.puma	"AZ, 00805"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00805"
in.puma	"AZ, 00807"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00807"
in.puma	"AZ, 00900"	"The dwelling unit is located in AZ, the NHGIS PUMA code is 00900"
in.puma	"CA, 00101"	"The dwelling unit is located in CA, the NHGIS PUMA code is 00101"
in.puma	"CA, 00102"	"The dwelling unit is located in CA, the NHGIS PUMA code is 00102"
in.puma	"CA, 00103"	"The dwelling unit is located in CA, the NHGIS PUMA code is 00103"
in.puma	"CA, 00104"	"The dwelling unit is located in CA, the NHGIS PUMA code is 00104"
in.puma	"CA, 00105"	"The dwelling unit is located in CA, the NHGIS PUMA code is 00105"
in.puma	"CA, 00106"	"The dwelling unit is located in CA, the NHGIS PUMA code is 00106"
in.puma	"CA, 00107"	"The dwelling unit is located in CA, the NHGIS PUMA code is 00107"
in.puma	"CA, 00108"	"The dwelling unit is located in CA, the NHGIS PUMA code is 00108"
in.puma	"CA, 00109"	"The dwelling unit is located in CA, the NHGIS PUMA code is 00109"
in.puma	"CA, 00110"	"The dwelling unit is located in CA, the NHGIS PUMA code is 00110"
in.puma	"CA, 00300"	"The dwelling unit is located in CA, the NHGIS PUMA code is 00300"
in.puma	"CA, 00701"	"The dwelling unit is located in CA, the NHGIS PUMA code is 00701"
in.puma	"CA, 00702"	"The dwelling unit is located in CA, the NHGIS PUMA code is 00702"
in.puma	"CA, 01100"	"The dwelling unit is located in CA, the NHGIS PUMA code is 01100"
in.puma	"CA, 01301"	"The dwelling unit is located in CA, the NHGIS PUMA code is 01301"
in.puma	"CA, 01302"	"The dwelling unit is located in CA, the NHGIS PUMA code is 01302"
in.puma	"CA, 01303"	"The dwelling unit is located in CA, the NHGIS PUMA code is 01303"
in.puma	"CA, 01304"	"The dwelling unit is located in CA, the NHGIS PUMA code is 01304"
in.puma	"CA, 01305"	"The dwelling unit is located in CA, the NHGIS PUMA code is 01305"
in.puma	"CA, 01306"	"The dwelling unit is located in CA, the NHGIS PUMA code is 01306"
in.puma	"CA, 01307"	"The dwelling unit is located in CA, the NHGIS PUMA code is 01307"
in.puma	"CA, 01308"	"The dwelling unit is located in CA, the NHGIS PUMA code is 01308"
in.puma	"CA, 01309"	"The dwelling unit is located in CA, the NHGIS PUMA code is 01309"
in.puma	"CA, 01500"	"The dwelling unit is located in CA, the NHGIS PUMA code is 01500"
in.puma	"CA, 01700"	"The dwelling unit is located in CA, the NHGIS PUMA code is 01700"
in.puma	"CA, 01901"	"The dwelling unit is located in CA, the NHGIS PUMA code is 01901"
in.puma	"CA, 01902"	"The dwelling unit is located in CA, the NHGIS PUMA code is 01902"
in.puma	"CA, 01903"	"The dwelling unit is located in CA, the NHGIS PUMA code is 01903"
in.puma	"CA, 01904"	"The dwelling unit is located in CA, the NHGIS PUMA code is 01904"
in.puma	"CA, 01905"	"The dwelling unit is located in CA, the NHGIS PUMA code is 01905"
in.puma	"CA, 01906"	"The dwelling unit is located in CA, the NHGIS PUMA code is 01906"
in.puma	"CA, 01907"	"The dwelling unit is located in CA, the NHGIS PUMA code is 01907"
in.puma	"CA, 02300"	"The dwelling unit is located in CA, the NHGIS PUMA code is 02300"
in.puma	"CA, 02500"	"The dwelling unit is located in CA, the NHGIS PUMA code is 02500"
in.puma	"CA, 02901"	"The dwelling unit is located in CA, the NHGIS PUMA code is 02901"
in.puma	"CA, 02902"	"The dwelling unit is located in CA, the NHGIS PUMA code is 02902"
in.puma	"CA, 02903"	"The dwelling unit is located in CA, the NHGIS PUMA code is 02903"
in.puma	"CA, 02904"	"The dwelling unit is located in CA, the NHGIS PUMA code is 02904"
in.puma	"CA, 02905"	"The dwelling unit is located in CA, the NHGIS PUMA code is 02905"
in.puma	"CA, 03100"	"The dwelling unit is located in CA, the NHGIS PUMA code is 03100"
in.puma	"CA, 03300"	"The dwelling unit is located in CA, the NHGIS PUMA code is 03300"
in.puma	"CA, 03701"	"The dwelling unit is located in CA, the NHGIS PUMA code is 03701"
in.puma	"CA, 03702"	"The dwelling unit is located in CA, the NHGIS PUMA code is 03702"
in.puma	"CA, 03703"	"The dwelling unit is located in CA, the NHGIS PUMA code is 03703"
